,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
SEM 1,Repos,30’ / Diff. 2-4 / EC,20’ / Diff. 2-4 / EC,40’ / Diff. 2-4 / EC,Repos,20’ / Diff. 2-4 / EC,45’ / Diff. 4 / EC (T)
SEM 2,Repos,30’ / Diff. 2-4 / EC,25’ / Diff. 2-4 / EC,40’ / Diff. 2-4 / EC,Repos,20’ / Diff. 2-4 / EC,50’ / Diff. 4 / EC (T)
SEM 3,Repos,30’ / Diff. 2-4 / EC,30’ / Diff. 2-4 / EC,45’ / Diff. 2-4 / EC,Repos,20’ / Diff. 2-4 / EC,60’ / Diff. 7 / EC (T)
SEM 4,Repos,30’ / Diff. 2-4 / EC,25’ / Diff. 2-4 / EC,20’ / Diff. 2-4 / EC,Repos,45’ / Diff. 7 / WEC (T),120' / Diff. 10 / WEC (T)
SEM 5,Repos,Repos,35’ / Diff. 2-4 / EC,45’ / Diff. 2-4 / EC,Repos,25’ / Diff. 2-4 / EC,50’ / Diff. 5 / EC (T)
SEM 6,Repos,50’ / Diff. 6 / EPI / 15’’-15’’ ou 15’’-30’’,35’ / Diff. 2-4 / EC,45’ / Diff. 2-4 / EC,Repos,30’ / Diff. 3 / EC,80’ / Diff. 6-7 / EC (T)
SEM 7,Repos,50’ / Diff. 6 / EPI / 15’’-15’’ ou 15’’-30’’,40’ / Diff. 2-4 / EC,45' / Diff. 6 / EPI / 1’-1’ ou 1’-2’,30’ / Diff. 2-4 / EC,30’ / Diff. 3 / EC,70’ / Diff. 6-7 / EC (T)
SEM 8,Repos,40’ / Diff. 6 / EPI / 15’’-15’’ ou 15’’-30’’,30’ / Diff. 2-4 / EC,20’ / Diff. 2-4 / EC,Repos,60’ / Diff. 7 / WEC (T),150’ / Diff. 10 / WEC (T)
SEM 9,Repos,Repos,20’ / Diff. 2-4 / EC,35’ / Diff. 2-4 / EC,55' / Diff. 7 / EPI / 1’-1’ ou 1’-2’,30’ / Diff. 3 / EC,60’ / Diff. 6 / EC (T)
SEM 10,Repos,40’ / Diff. 6 / EPI / 15’’-15’’ ou 15’’-30’’,35’ / Diff. 2-4 / EC,30' / Diff. 6 / EPI / 1’-1’ ou 1’-2’,40’ / Diff. 3 / EC,30’ / Diff. 3 / EC,90’ / Diff. 6-7 / EC (T)
SEM 11,Repos,60’ / Diff. 6 / EPI / 15’’-15’’ ou 15’’-30’’,50’ / Diff. 2-4 / EC,60' / Diff. 7 / EPI / 3’-1’ ou 3’-2’,40’ / Diff. 2-4 / EC,30’ / Diff. 3 / EC,80’ / Diff. 7 / EC (T)
SEM 12,Repos,30' / Diff. 5 / EPI / 1’-1’ ou 1’-2’,20’ / Diff. 2-4 / EC,15' / Diff. 2 / EPI / 3’-1’ ou 3’-2’,Repos,90’ / Diff. 7 / WEC (T),210’ / Diff. 7 / WEC (T)
SEM 13,Repos,Repos,20’ / Diff. 2-4 / EC,40’ / Diff. 2-4 / EC,60' / Diff. 7 / EPI / 3’-1’ ou 3’-2’,35’ / Diff. 3 / EC,60’ / Diff. 5 / EC (T)
SEM 14,Repos,40' / Diff. 6 / EPI / 1’-1’ ou 1’-2’,35’ / Diff. 2-4 / EC,30' / Diff. 6 / EPI / 3’-1’ ou 3’-2’,40’ / Diff. 2-4 / EC,40’ / Diff. 3 / EC,150’ / Diff. 8 / EC (T)
SEM 15,Repos,70' / Diff. 7 / EPI / 1’-1’ ou 1’-2’,50’ / Diff. 2-4 / EC,70' / Diff. 8 / EPI / 3’-1’ ou 3’-2’,50’ / Diff. 2-4 / EC,40’ / Diff. 3 / EC,90’ / Diff. 7 / EC (T)
SEM 16,Repos,30' / Diff. 5 / EPI / 1’-1’ ou 1’-2’,30’ / Diff. 2-4 / EC,20' / Diff. 2 / EPI / 3’-1’ ou 3’-2’,Repos,120’ / Diff. 7 / WEC (T),240’ / Diff. 10 / WEC (T)
SEM 17,Repos,Repos,20’ / Diff. 2-4 / EC,60’ / Diff. 2-4 / EC,75' / Diff. 6 / EPI / 5’-1’ ou 5’-2’,40’ / Diff. 3 / EC,60’ / Diff. 5 / EC (T)
SEM 18,Repos,40’ / Diff. 7 / EPI / 3’-1’ ou 3’-2’,40’ / Diff. 2-4 / EC,30' / Diff. 6 / EPI / 5’-1’ ou 5’-2’,30’ / Diff. 2-4 / EC,40’ / Diff. 3 / EC,120’ / Diff. 8 / EC (T)
SEM 19,Repos,60' / Diff. 6 / EPI / 15”-15” ou 15”-30”,40’ / Diff. 2-4 / EC,50' / Diff. 6 / EPI / 1’-1’ ou 1’-2’,Repos,20’ / Diff. 3 / EPI / 15’’-15’’ ou 15’’-30’’,90’ / Diff. 8 / EC (T)
SEM 20,Repos,50' / Diff. 6 / EPI / 1’-1’ ou 1’-2’,40’ / Diff. 2-4 / EC,Repos,20’ / Diff. 2 / EPI / 15’’-15’’ ou 15’’-30’’,Repos,Course